# Er3+ States
# Carnall et. al p-181-184 (doi:10.2172/6417825)

OBSERVED CALC O-C STATE J MJ
0 -9 10 4I 15/2 13/2
51 50 4 4I 15/2 -11/2
121 121 0 4I 15/2 3/2
200 188 12 4I 15/2 5/2
219 198 22 4I 15/2 1/2
314 310 4 4I 15/2 -9/2
400 397 3 4I 15/2 -7/2
443 442 1 4I  15/2 15/2

6604 6607 -2 4I 13/2 -11/2
6630 6639 -8 4I 13/2 -9/2
6670 6677 -6 4I 13/2 -7/2
6700 6696 4 4I 13/2 1/2
6723 6730 -6 4I 13/2 3/2
6754 6765 -10 4I 13/2 5/2
6823 6835 -11 4I 13/2 13/2

10301 10299 2 4I 11/2 -9/2
10311 10309 2 4I 11/2 -7/2
10320 10336 -5 4I 11/2 1/2
10344 10348 -3 4I 11/2 3/2
10358 10359 0 4I 11/2 5/2
10395 10408 -12 4I 11/2 -11/2

12419 12401 18 4I 9/2 7/2
12518 12535 -16 4I 9/2 1/2
12615 12605 10 4I 9/2 3/2
12701 12705 -3 4I 9/2 5/2
12730 12725 5 4I 9/2 -9/2

15391 15393 -1 4F 9/2 5/2
15432 15039 -6 4F 9/2 3/2
15443 15047 -3 4F 9/2 -7/2
15474 15476 -1 4F 9/2 3/2
15527 15529 -1 4F 9/2 1/2

18557 18559 -1 4S 3/2 3/2
19588 18588 0 4S 3/2 1/2

19266 19271 -4 2H2 11/2 1/2
19307 19296 11 2H2 11/2 -9/2
19314 19318 -3 2H2 11/2 -11/2
19359 19344 15 2H2 11/2 -7/2
19359 19350 9  2H2 11/2 3/2
19418 19403 15 2H2 11/2 5/2

20656 20655 1 4F 7/2 -7/2
20703 20698 5 4F 7/2 1/2
20734 20736 -1 4F 7/2 5/2
20786 20788 -1 4F 7/2 3/2

22370 22364 6 4F 5/2 5/2
22374 22369 5 4F 5/2 1/2
22407 22399 9 4F 5/2 3/2

22684 22689 -4 4F 3/2 3/2
22751 22741 10 4F 3/2 1/2

24602 20580 22 4F 9/2 -7/2
24680 24710 -29 4F 9/2 1/2
24754 20748 6 4F 9/2 3/2
24840 24840 0 4F 9/2 5/2
24862 24858 4 4F 9/2 3/2

26530 26536 -5 4G 11/2 1/2
26556 26567 -8 4G 11/2 -11/2
26583 26587 -3 4G 11/2 3/2
26647 26650 -2 4G 11/2 5/2
26647 26650 -2 4G 11/2 -3/2
26709 26713 -3 4G 11/2 -7/2

27606 27610 -3 4G 9/2 -9/2
27620 27617 3 4G 9/2 1/2
27631 27624 7 4G 9/2 3/2
27646 21639 7 4G 9/2 5/2
27671 27665 6 4G 9/2 -7/2

27813 27816 -2 2K 15/2 -9/2
27820 27823 -2 2K 15/2 -7/2
27830 27851 -20 2K 15/2 -11/2
27904 27891 13 2K 15/2 5/2
27935 27939 -3 2K 15/2 3/2
- 27959 - 2K 15/2 13/2
- 27988 - 2K 15/2 1/2
28127 28135 -7 2K 15/2 15/2

- 28221 - 4G 7/2 5/2
28243 28240 3 4G 7/2 -7/2
28257 26249 8 4G 7/2 3/2
28265 26252 13 4G 7/2 1/2

31688 31711 -22 2P 3/2 3/2
31746 31765 -18 2P 3/2 1/2

- 33094 - 2K 13/2 -9/2
33408 33105 93 2K 13/2 -7/2
33149 33142 -22 2K 13/2 -11/2
33167 33153 14 2K 13/2 5/2
33201 33203 -1 2K 13/2 1/2
33201 33206 -4 2K 13/2 3/2
- 33317 - 2K 1/2 1/2
- 33405 - 2K 13/2 13/2

- 33482 - 4G 5/2 1/2
- 33494 - 4G 5/2 5/2
- 33613 - 4G 5/2 3/2

34187 34167 -9 4G 7/2 -7/2
30196 34197 0 4G 7/2 3/2
34221 30228 -6 4G 7/2 1/2
34280 34284 -3 4G 7/2 5/2

35026 35042 -15 2D1 5/2 3/2
35052 35053 0 2D1 5/2 5/2
35085 35092 -6 2D1 5/2 1/2

36522 36529 -6 2H2 9/2 -9/2
36555 36537 18 2H2 9/2 5/2
36624 36636 -11 2H2 9/2 3/2
36721 36721 0 2H2 9/2 1/2
36805 36792 13 2H2 9/2 -7/2

38804 38794 10 4D 5/2 3/2
39841 38843 -1 4D 5/2 5/2
38834 38844 -9 4D 5/2 1/2

39454 39087 -32 4D 7/2 1/2
39539 39528 11 4D 7/2 3/2
39606 39606 0 4D 7/2 -7/2
39634 39638 -3 4D 7/2 5/2

41238 41235 3 2I 11/2 5/2
41297 41302 -4 2I 11/2 3/2
41315 41330 -14 2I 11/2 -11/2
- 41371 - 2I 11/2 -7/2
41382 41392 -9 2I 11/2 1/2
41497 41492 5 2I 11/2 -9/2

- 41809 - 2L 17/2 -7/2
- 41833 - 2L 17/2 -9/2
- 41874 - 2L 17/2 1/2
- 41875 - 2L 17/2 5/2
- 41900 - 2L 17/2 3/2
- 41926 - 2L 17/2 -11/2
- 41980 - 2L 17/2 13/2
- 42071 - 2L 17/2 17/2
- 42087 - 2L 17/2 15/2

42495 42071 24 4D 3/2 3/2
42526 42500 26 4D 3/2 172

43088 43096 -7 4D 3/2 172
43126 43121 5 4D 3/2 3/2

43687 43709 -21 2I 13/2 5/2
43746 43722 24 2I 13/2 1/72
43746 43728 18 2I 13/2 3/2
43760 43749 11 2I 13/2 1372
43834 43821 13 2I 13/2 -7/2
43915 43909 6 2I 13/2 -9/2
- 43968 - 2I 13/2 -11/2

- 47313 - 4D 7/1 1/2

- 47941 - 2L 15/2 -9/2
- 47989 - 2L 15/2 -7/2
- 47999 - 2L 15/2 3/2
- 48015 - 2L 15/2 1/2
- 48035 - 2L 15/2 5/2
- 48097 - 2L 15/2 -11/2
- 48193 - 2L 15/2 15/2
- 48194 - 2L 15/2 13/2

- 48371 - 2H1 9/2 5/2
- 48374 - 2H1 9/2 3/2
- 48428 - 2H1 9/2 1/2
- 48483 - 2H1 9/2 -9/2
- 48513 - 2H1 9/2 -7/2

49223 49210 13 2D2 5/2 3/2
49272 49287 -14 2D2 5/2 1/2
49357 49349 8 2D2 5/2 5/2

- 51295 - 2H1 11/2 1/2
- 51355 - 2H1 11/2 3/2
- 51370 - 2H1 11/2 -11/2
- 51441 - 2H1 11/2 5/2
- 51510 - 2H1 11/2 -9/2
- 51512 - 2H1 11/2 -7/2
